Area,O,Qism,Down,Sites,Down%
SIN,ARISH,el Qasima,3,3,100.00
CAI,GIZA,6th October2,2,71,2.82
CAI,DOWNTOWN,Banha,2,30,6.67
CAI,GESR EL SUIZ,Cairo - Ismailia Road - Sha,2,7,28.57
DEL,FAKOUS,Markaz Kafr Saqr,2,31,6.45
CAI,GESR EL SUIZ,Markaz el Khanka,2,98,2.04
ALX,ALEX3,North Coast - Markaz el Alamin,2,80,2.50
SIN,SUEZ,el Arbeaeen,2,42,4.76
SIN,HURGHADA,el Ghardaqa,2,128,1.56
CAI,GESR EL SUIZ,el Obour,2,100,2.00
CAI,GESR EL SUIZ,10th Ramadan Industrial Zone,1,30,3.33
ALX,ALEX2,Alex - Cairo Desert Road - Beh,1,14,7.14
CAI,SHOROUK,Badr City,1,49,2.04
CAI,DOWNTOWN,Bulaq,1,25,4.00
CAI,GIZA,Kerdasa,1,6,16.67
UPP,EDFO,Luxor - Aswan Road - Wad,1,2,50.00
UPP,MENYIA,Maghagha,1,18,5.56
UPP,ASWAN,Markaz Aswan,1,25,4.00
DEL,DELENGAT,Markaz Badr,1,20,5.00
CAI,DOWNTOWN,Markaz Banha,1,25,4.00
UPP,ASWAN,Markaz Daraw,1,21,4.76
DEL,DAMANHOUR,Markaz Kafr el Dawwar,1,37,2.70
UPP,SOHAG,Markaz Tahta,1,17,5.88
CAI,GIZA,Markaz Wadi el Natrun,1,22,4.55
ALX,ALEX3,Markaz el Dabaa,1,15,6.67
UPP,ASSIUT,Markaz el Farafra,1,3,33.33
UPP,Maghagha,Markaz el Fashn,1,34,2.94
CAI,MOHANDESEN,Markaz el Qanatir el Khayriyya,1,41,2.44
UPP,ASSIUT,Markaz el Wahat el Kharga,1,13,7.69
SIN,MARSA ALAM,Marsa Alam,1,49,2.04
CAI,TAGAMO3,New Cairo - South,1,192,0.52
ALX,ALEX3,North Coast - Marina,1,25,4.00
ALX,ALEX4,North Coast - Markaz el Alamin,1,80,1.25
CAI,GESR EL SUIZ,Nuzha,1,99,1.01
SIN,MARSA ALAM,Shalateen,1,19,5.26
UPP,ASSIUT,Sharq el Eweinat - el Kharga Road,1,23,4.35
SIN,MARSA ALAM,Shiekh Abu el Hassan el Shazly Road,1,16,6.25
CAI,DOWNTOWN,Shubra el Khayma 2,1,56,1.79
ALX,ALEX1,Sidi Gabir,1,49,2.04
ALX,ALEX3,el Alamin,1,24,4.17
ALX,ALEX2,el Amriyya,1,76,1.32
CAI,GIZA,el Dabaa Road - Beh,1,9,11.11
ALX,ALEX2,el Dikhila,1,64,1.56
SIN,ARISH,el Ismailia - el Arish Road,1,8,12.50
CAI,HELWAN,el Mearaj - Maadi,1,25,4.00
ALX,ALEX1,el Raml,1,69,1.45
CAI,GIZA,el Shiekh Zayed,1,91,1.10
SIN,SUEZ,el Sokhna,1,102,0.98
UPP,ASSIUT,el Wadi Desert Extension,1,8,12.50
UPP,ASSIUT,el Wahat - Asyut road,1,8,12.50
CAI,DOWNTOWN,el Wayli,1,36,2.78
CAI,DOWNTOWN,el Zahir,1,9,11.11
